path,age,gender,age_cat
common_voice_pl_20750918.mp3,fourties,male_masculine,1
common_voice_pl_25884159.mp3,twenties,male_masculine,0
common_voice_pl_24457256.mp3,fifties,male_masculine,2
common_voice_pl_20622617.mp3,thirties,female_feminine,1
common_voice_pl_26122230.mp3,twenties,male_masculine,0
common_voice_pl_20675478.mp3,twenties,male_masculine,0
common_voice_pl_21643526.mp3,twenties,female_feminine,0
common_voice_pl_20659900.mp3,twenties,male_masculine,0
common_voice_pl_20677572.mp3,thirties,male_masculine,1
common_voice_pl_21110976.mp3,thirties,male_masculine,1
common_voice_pl_24450342.mp3,fifties,male_masculine,2
common_voice_pl_24677243.mp3,fifties,male_masculine,2
common_voice_pl_21370349.mp3,thirties,male_masculine,1
common_voice_pl_20641488.mp3,twenties,male_masculine,0
common_voice_pl_24449402.mp3,fifties,male_masculine,2
common_voice_pl_35082605.mp3,twenties,male_masculine,0
common_voice_pl_30428034.mp3,thirties,male_masculine,1
common_voice_pl_21669089.mp3,twenties,female_feminine,0
common_voice_pl_20654795.mp3,thirties,male_masculine,1
common_voice_pl_42355225.mp3,twenties,female_feminine,0
common_voice_pl_24457146.mp3,fifties,male_masculine,2
common_voice_pl_24500168.mp3,fifties,male_masculine,2
common_voice_pl_20740512.mp3,fifties,female_feminine,2
common_voice_pl_20654370.mp3,nineties,male_masculine,2
common_voice_pl_20626352.mp3,twenties,male_masculine,0
common_voice_pl_20635956.mp3,twenties,male_masculine,0
common_voice_pl_20635853.mp3,twenties,male_masculine,0
common_voice_pl_24457031.mp3,fifties,male_masculine,2
common_voice_pl_30515528.mp3,thirties,male_masculine,1
common_voice_pl_27825031.mp3,sixties,male_masculine,2
common_voice_pl_20698065.mp3,twenties,female_feminine,0
common_voice_pl_20614528.mp3,twenties,male_masculine,0
common_voice_pl_26186764.mp3,twenties,male_masculine,0
common_voice_pl_24449356.mp3,fifties,male_masculine,2
common_voice_pl_20615528.mp3,twenties,male_masculine,0
common_voice_pl_24496708.mp3,fifties,male_masculine,2
common_voice_pl_20726826.mp3,twenties,male_masculine,0
common_voice_pl_21898453.mp3,twenties,female_feminine,0
common_voice_pl_20673014.mp3,fourties,male_masculine,1
common_voice_pl_24499857.mp3,fifties,male_masculine,2
common_voice_pl_20686103.mp3,nineties,male_masculine,2
common_voice_pl_20684703.mp3,twenties,male_masculine,0
common_voice_pl_20671487.mp3,twenties,male_masculine,0
common_voice_pl_20654368.mp3,nineties,male_masculine,2
common_voice_pl_22087965.mp3,twenties,female_feminine,0
common_voice_pl_24499855.mp3,fifties,male_masculine,2
common_voice_pl_20710657.mp3,twenties,female_feminine,0
common_voice_pl_21650915.mp3,twenties,female_feminine,0
common_voice_pl_30438036.mp3,thirties,male_masculine,1
common_voice_pl_20708980.mp3,twenties,male_masculine,0
common_voice_pl_20776896.mp3,fourties,male_masculine,1
common_voice_pl_21156034.mp3,twenties,male_masculine,0
common_voice_pl_20888468.mp3,thirties,male_masculine,1
common_voice_pl_21249859.mp3,fourties,male_masculine,1
common_voice_pl_22497713.mp3,sixties,female_feminine,2
common_voice_pl_25882662.mp3,twenties,female_feminine,0
common_voice_pl_21395799.mp3,thirties,male_masculine,1
common_voice_pl_20654996.mp3,fifties,male_masculine,2
common_voice_pl_20680704.mp3,twenties,female_feminine,0
common_voice_pl_24788750.mp3,twenties,male_masculine,0
common_voice_pl_21291133.mp3,twenties,male_masculine,0
common_voice_pl_24457543.mp3,fifties,male_masculine,2
common_voice_pl_20618648.mp3,fifties,male_masculine,2
common_voice_pl_20630768.mp3,nineties,male_masculine,2
common_voice_pl_21686682.mp3,twenties,male_masculine,0
common_voice_pl_30446682.mp3,thirties,male_masculine,1
common_voice_pl_20684582.mp3,thirties,male_masculine,1
common_voice_pl_20644817.mp3,nineties,male_masculine,2
common_voice_pl_24449745.mp3,fifties,male_masculine,2
common_voice_pl_20764874.mp3,fourties,male_masculine,1
common_voice_pl_21600754.mp3,twenties,male_masculine,0
common_voice_pl_20681098.mp3,thirties,male_masculine,1
common_voice_pl_24456753.mp3,fifties,male_masculine,2
common_voice_pl_21957679.mp3,teens,male_masculine,0
common_voice_pl_20600462.mp3,fourties,male_masculine,1
common_voice_pl_20625708.mp3,thirties,male_masculine,1
