epoch,train_loss,val_loss,val_accuracy
1,0.3028573003295507,0.31099730865521863,86.28571428571429
2,0.17415544622250506,0.14655756543983112,95.23809523809524
3,0.1408815765784852,0.12835812526331705,95.04761904761905
4,0.11799500751737002,0.10520087673582813,95.71428571428571
5,0.10889722178281108,0.14147503803851028,94.47619047619048
6,0.08496239125363629,0.10396860799554622,96.85714285714286
7,0.07385462460464427,0.08701695494043331,97.33333333333333
8,0.06641873652232469,0.06578272934579714,97.42857142857143
9,0.0618752955810664,0.12301858040419492,95.23809523809524
10,0.05540697529441614,0.2259220021748633,92.28571428571429
11,0.023136734094805433,0.05633546304571527,98.0
12,0.015562210125092344,0.08614426022386672,97.71428571428571
13,0.02109385684117434,0.11344677808334712,96.38095238095238
14,0.016333645058312942,0.06616932242953528,97.61904761904762
15,0.014444101315139296,0.09810828668714473,96.57142857142857
16,0.01844696739582916,0.10504222717171421,97.33333333333333
17,0.014625066771611113,0.24906820372791227,93.9047619047619
18,0.01384493336069829,0.0873933966736331,97.71428571428571
19,0.009609681300712264,0.09657221663920526,97.52380952380952
20,0.015191916907085485,0.19734167328781702,95.42857142857143
21,0.003437800626997116,0.06834786989742442,98.47619047619048
22,0.0005958101456150649,0.07536405192637506,98.47619047619048
23,0.0008979452577902192,0.07115440141103935,98.47619047619048
24,0.0065430012767727615,0.10355418729710492,97.61904761904762
25,0.0059900594604638735,0.08165602622598685,98.0952380952381
26,0.003539660297916099,0.08227901521100152,98.19047619047619
27,0.004978901544221822,0.09687975578311704,97.71428571428571
28,0.004863794449257462,0.0686862352174902,98.57142857142857
29,0.0006934584096400558,0.08109889697226264,98.57142857142857
30,0.004842865666818577,0.10789157823918769,97.42857142857143
31,0.0025759776925447972,0.06660145679504212,98.66666666666667
32,0.0006488849302125014,0.07667660380231169,98.0952380952381
33,0.0003717356421978556,0.07342656692571836,98.57142857142857
34,0.00019579161916273682,0.07525591944143646,98.57142857142857
35,0.00014877080398044605,0.07457579720765793,98.57142857142857
36,0.00022078186952525684,0.07548658909301979,98.47619047619048
37,0.00026747796130953893,0.08742082865058254,98.0952380952381
38,0.0059315316366971085,0.06118803143616595,98.38095238095238
39,0.0013908696413589931,0.07484751771202851,98.57142857142857
40,0.00042983053246622467,0.08054477489152607,98.38095238095238
